Weekday,0,0.25,-57.26,57.76
Weekday,1,-3.01,-66.05,60.03
Weekday,2,2.71,-98.71,104.13
Weekday,3,13.55,-67.30,94.40
Weekday,4,0.48,-67.20,68.16
Weekday,5,-2.11,-65.71,61.49
Weekday,6,-1.52,-64.48,61.44
Weekday,7,-0.15,-62.39,62.09
Weekday,8,1.44,-62.23,65.11
Weekday,9,2.34,-62.19,66.87
Weekday,10,3.56,-61.12,68.24
Weekday,11,4.56,-62.46,71.58
Weekday,12,5.80,-66.19,77.79
Weekday,13,7.10,-66.19,80.39
Weekday,14,8.89,-69.37,87.15
Weekday,15,9.78,-69.52,89.08
Weekday,16,10.97,-71.37,93.31
Weekday,17,11.66,-73.72,97.04
Weekday,18,12.87,-74.45,100.19
Weekday,19,12.33,-72.85,97.51
Weekday,20,12.08,-70.23,94.39
Weekday,21,10.47,-66.55,87.49
Weekday,22,6.37,-63.28,76.02
Weekday,23,4.24,-67.36,75.84
Weekend,0,0.33,-50.84,51.50
Weekend,1,-1.64,-57.95,54.67
Weekend,2,3.31,-79.96,86.58
Weekend,3,13.95,-79.69,107.59
Weekend,4,5.41,-91.47,102.29
Weekend,5,-1.95,-68.59,64.69
Weekend,6,-2.42,-69.48,64.64
Weekend,7,-2.09,-65.39,61.21
Weekend,8,-0.85,-63.87,62.17
Weekend,9,0.31,-62.42,63.04
Weekend,10,1.43,-59.91,62.77
Weekend,11,2.47,-62.18,67.12
Weekend,12,3.56,-64.40,71.52
Weekend,13,4.69,-65.09,74.47
Weekend,14,5.84,-66.47,78.15
Weekend,15,6.59,-67.66,80.84
Weekend,16,7.53,-70.76,85.82
Weekend,17,8.15,-72.25,88.55
Weekend,18,9.21,-72.95,91.37
Weekend,19,9.03,-70.88,88.94
Weekend,20,9.17,-69.60,87.94
Weekend,21,7.88,-65.89,81.65
Weekend,22,3.56,-60.34,67.46
Weekend,23,1.90,-65.25,69.05
