ABE <-> ATL,1010,439
ABE <-> AVP,1,
ABE <-> CLT,469,208
ABE <-> DAY,1,
ABE <-> DTW,246,55
ABE <-> FLL,128,
ABE <-> MCO,682,335
ABE <-> ORD,3246,893
ABI <-> DFW,3448,1510
ABQ <-> ATL,1319,630
ABQ <-> BWI,799,356
ABQ <-> DAL,3783,1681
ABQ <-> DEN,4176,2162
ABQ <-> DFW,4005,1748
ABQ <-> ELP,814,400
ABQ <-> EWR,,2
ABQ <-> GJT,1,
ABQ <-> HOU,1395,621
ABQ <-> IAD,506,222
ABQ <-> IAH,2580,1007
ABQ <-> LAS,2717,1174
ABQ <-> LAX,4171,1958
ABQ <-> LBB,506,224
ABQ <-> MAF,506,224
ABQ <-> MCI,510,244
ABQ <-> MCO,528,224
ABQ <-> MDW,1003,447
ABQ <-> MSP,696,361
ABQ <-> OAK,1233,617
ABQ <-> ORD,1189,427
ABQ <-> PDX,506,224
ABQ <-> PHX,6806,2875
ABQ <-> SAN,1243,477
ABQ <-> SEA,1003,437
ABQ <-> SFO,532,444
ABQ <-> SLC,2950,967
ABQ <-> STL,505,224
ABQ <-> TUS,989,409
ABY <-> ATL,1384,622
ACK <-> JFK,454,66
ACT <-> DFW,661,133
ACV <-> CEC,427,197
ACV <-> RDD,1,
ACV <-> SFO,3168,1509
ACV <-> SMF,840,394
ACY <-> ATL,1008,446
ADK <-> ANC,144,64
ADQ <-> ANC,936,408
AEX <-> ATL,2160,852
AEX <-> DFW,1512,666
AEX <-> GSO,1,
AEX <-> IAH,1003,444
AGS <-> ATL,4547,1725
AGS <-> CLT,48,
AGS <-> DFW,1010,436
AGS <-> IAH,1,
AKN <-> ANC,168,
ALB <-> ATL,992,628
ALB <-> BTV,1,
ALB <-> BWI,2708,1154
ALB <-> CLE,1269,704
ALB <-> CLT,990,442
ALB <-> DTW,98,
ALB <-> EWR,18,1
ALB <-> FLL,506,224
ALB <-> IAD,1331,168
ALB <-> LAS,506,224
ALB <-> MCO,1243,480
ALB <-> MDW,1005,445
ALB <-> MSP,185,151
ALB <-> ORD,2272,913
ALB <-> TPA,520,224
AMA <-> DAL,2835,1179
AMA <-> DEN,1632,811
AMA <-> DFW,2679,1326
AMA <-> IAH,1819,775
AMA <-> LAS,506,224
AMA <-> SHV,1,
ANC <-> BET,1440,614
ANC <-> BRW,324,140
ANC <-> CDV,505,218
ANC <-> DEN,587,70
ANC <-> DFW,266,40
ANC <-> DLG,168,
ANC <-> DTW,136,
ANC <-> FAI,3708,1616
ANC <-> HNL,466,224
ANC <-> IAH,243,8
ANC <-> JNU,1627,630
ANC <-> LAX,380,16
ANC <-> LGB,212,
ANC <-> MSP,1170,328
ANC <-> OGG,80,48
ANC <-> OME,798,326
ANC <-> ORD,819,222
ANC <-> OTZ,712,327
ANC <-> PDX,1165,440
ANC <-> PHL,162,
ANC <-> PHX,577,264
ANC <-> SCC,360,158
ANC <-> SEA,8716,3523
ANC <-> SFO,162,
ANC <-> SIT,1,
ANC <-> SLC,693,222
ART <-> ORD,,153
ASE <-> DEN,4808,1496
ASE <-> DFW,,34
ASE <-> GJT,2,
ASE <-> IAH,182,68
ASE <-> LAX,758,195
ASE <-> ORD,782,134
ASE <-> SFO,333,62
ATL <-> ATW,506,220
ATL <-> AUS,2882,1256
ATL <-> AVL,4216,1749
ATL <-> AVP,8,189
ATL <-> BDL,2948,1303
ATL <-> BHM,4598,2002
ATL <-> BKG,766,428
ATL <-> BMI,3349,1412
ATL <-> BNA,4304,2091
ATL <-> BOS,7678,3406
ATL <-> BQK,1390,574
ATL <-> BTR,3833,1625
ATL <-> BUF,4050,1724
ATL <-> BWI,8519,3856
ATL <-> BZN,92,28
ATL <-> CAE,4856,1922
ATL <-> CAK,4568,1777
ATL <-> CHA,4449,1850
ATL <-> CHO,1434,636
ATL <-> CHS,4626,2150
ATL <-> CID,7,217
ATL <-> CLE,3201,1094
ATL <-> CLT,9925,4481
ATL <-> CMH,4628,2113
ATL <-> COS,642,226
ATL <-> CRW,2341,962
ATL <-> CSG,2061,896
ATL <-> CVG,3464,1458
ATL <-> DAB,2402,888
ATL <-> DAY,3972,1696
ATL <-> DCA,10621,4382
ATL <-> DEN,7810,3185
ATL <-> DFW,13509,5395
ATL <-> DHN,1860,756
ATL <-> DSM,1268,512
ATL <-> DTW,6800,2938
ATL <-> ECP,4122,1691
ATL <-> EGE,186,30
ATL <-> ELP,976,412
ATL <-> EVV,1518,601
ATL <-> EWN,1110,556
ATL <-> EWR,6728,3158
ATL <-> EYW,1522,700
ATL <-> FAY,4257,1803
ATL <-> FCA,20,
ATL <-> FLL,10477,4476
ATL <-> FLO,4,
ATL <-> FNT,3394,1328
ATL <-> FSD,,76
ATL <-> FWA,259,43
ATL <-> GNV,3302,1397
ATL <-> GPT,3039,1182
ATL <-> GRK,1005,409
ATL <-> GRR,1300,552
ATL <-> GSO,2970,1478
ATL <-> GSP,3390,1386
ATL <-> GTR,786,596
ATL <-> HDN,172,30
ATL <-> HNL,506,224
ATL <-> HOU,4312,1465
ATL <-> HPN,3352,1361
ATL <-> HSV,4547,1676
ATL <-> IAD,7128,2874
ATL <-> IAH,6940,3032
ATL <-> ICT,2993,1416
ATL <-> ILM,3010,1367
ATL <-> IND,5495,2422
ATL <-> JAC,68,28
ATL <-> JAN,3747,1627
ATL <-> JAX,7836,3245
ATL <-> JFK,3200,1351
ATL <-> LAS,5810,2533
ATL <-> LAX,7083,2953
ATL <-> LEX,3790,1443
ATL <-> LFT,1684,961
ATL <-> LGA,15041,6732
ATL <-> LIT,3827,1685
ATL <-> LWB,506,224
ATL <-> LYH,9,
ATL <-> MCI,5485,2096
ATL <-> MCO,12851,5280
ATL <-> MDT,2198,1016
ATL <-> MDW,6709,3011
ATL <-> MEI,938,444
ATL <-> MEM,6477,2734
ATL <-> MFE,511,385
ATL <-> MGM,3890,1932
ATL <-> MHT,764,370
ATL <-> MIA,8338,3403
ATL <-> MKE,5594,2374
ATL <-> MLB,2115,880
ATL <-> MLI,1985,832
ATL <-> MLU,1601,764
ATL <-> MOB,4049,1441
ATL <-> MSN,569,563
ATL <-> MSP,8071,3324
ATL <-> MSY,7277,3160
ATL <-> MTJ,186,28
ATL <-> MYR,2769,1066
ATL <-> OAJ,2045,988
ATL <-> OKC,2067,753
ATL <-> OMA,2115,760
ATL <-> ONT,596,224
ATL <-> ORD,10466,4700
ATL <-> ORF,3323,1449
ATL <-> PBI,5977,2525
ATL <-> PDX,1540,620
ATL <-> PHF,4057,1678
ATL <-> PHL,9271,4305
ATL <-> PHX,5626,2376
ATL <-> PIT,5674,2451
ATL <-> PNS,5415,2209
ATL <-> PVD,1436,634
ATL <-> PWM,1459,508
ATL <-> RDU,7373,3247
ATL <-> RIC,5683,2490
ATL <-> ROA,2458,908
ATL <-> ROC,2640,1328
ATL <-> RSW,5812,2365
ATL <-> SAN,2730,1161
ATL <-> SAT,5529,2121
ATL <-> SAV,4893,1993
ATL <-> SBN,362,230
ATL <-> SCE,1,1
ATL <-> SDF,3507,1138
ATL <-> SEA,4084,1571
ATL <-> SFO,4567,1934
ATL <-> SGF,1552,813
ATL <-> SHV,2356,967
ATL <-> SJC,478,178
