ABE <-> ATL,1232,439
ABE <-> AVP,1,
ABE <-> CLT,686,208
ABE <-> DAY,1,
ABE <-> DTW,870,55
ABE <-> FLL,194,
ABE <-> MCO,864,335
ABE <-> ORD,4400,893
ABI <-> DFW,4966,1510
ABQ <-> ATL,1933,630
ABQ <-> BWI,1159,356
ABQ <-> DAL,5469,1681
ABQ <-> DEN,5851,2162
ABQ <-> DFW,5747,1748
ABQ <-> ELP,1210,400
ABQ <-> EWR,2,2
ABQ <-> GJT,1,
ABQ <-> HOU,2003,621
ABQ <-> IAD,728,222
ABQ <-> IAH,3826,1007
ABQ <-> LAS,3898,1174
ABQ <-> LAX,5579,1958
ABQ <-> LBB,728,224
ABQ <-> MAF,728,224
ABQ <-> MCI,847,244
ABQ <-> MCO,752,224
ABQ <-> MDW,1449,447
ABQ <-> MSP,1103,361
ABQ <-> OAK,1846,617
ABQ <-> ORD,1651,427
ABQ <-> PDX,728,224
ABQ <-> PHX,9737,2875
ABQ <-> SAN,1772,477
ABQ <-> SEA,1436,437
ABQ <-> SFO,754,444
ABQ <-> SLC,4147,967
ABQ <-> STL,727,224
ABQ <-> TUS,1411,409
ABR <-> MSP,10,
ABY <-> ATL,2012,622
ACK <-> JFK,478,66
ACT <-> DFW,831,133
ACV <-> CEC,619,197
ACV <-> RDD,3,
ACV <-> SFO,4720,1509
ACV <-> SMF,1224,394
ACY <-> ATL,1450,446
ADK <-> ANC,206,64
ADQ <-> ANC,1340,408
AEX <-> ATL,3090,852
AEX <-> DFW,2174,666
AEX <-> GSO,1,
AEX <-> IAH,1432,444
AEX <-> MEM,198,
AGS <-> ATL,6531,1725
AGS <-> CLT,48,
AGS <-> DFW,1450,436
AGS <-> IAH,1,
AKN <-> ANC,168,
ALB <-> ATL,1624,628
ALB <-> BTV,1,
ALB <-> BWI,3854,1154
ALB <-> CLE,1985,704
ALB <-> CLT,1408,442
ALB <-> DTW,876,
ALB <-> EWR,168,1
ALB <-> FLL,728,224
ALB <-> IAD,1890,168
ALB <-> JFK,222,
ALB <-> LAS,727,224
ALB <-> MCO,1729,480
ALB <-> MDW,1440,445
ALB <-> MSP,185,151
ALB <-> ORD,3084,913
ALB <-> TPA,742,224
AMA <-> DAL,4010,1179
AMA <-> DEN,2030,811
AMA <-> DFW,3546,1326
AMA <-> IAH,2588,775
AMA <-> LAS,728,224
AMA <-> MEM,570,
AMA <-> SHV,1,
ANC <-> BET,2058,614
ANC <-> BRW,462,140
ANC <-> CDV,720,218
ANC <-> DEN,629,70
ANC <-> DFW,304,40
ANC <-> DLG,168,
ANC <-> DTW,136,
ANC <-> FAI,5299,1616
ANC <-> HNL,624,224
ANC <-> IAH,243,8
ANC <-> JNU,2281,630
ANC <-> LAX,386,16
ANC <-> LGB,212,
ANC <-> MSP,1492,328
ANC <-> OGG,126,48
ANC <-> OME,1125,326
ANC <-> ORD,1082,222
ANC <-> OTZ,1039,327
ANC <-> PDX,1490,440
ANC <-> PHL,162,
ANC <-> PHX,830,264
ANC <-> SCC,517,158
ANC <-> SEA,12299,3523
ANC <-> SFO,162,
ANC <-> SIT,1,
ANC <-> SLC,910,222
ART <-> ORD,,153
ASE <-> DEN,6392,1496
ASE <-> DFW,,34
ASE <-> GJT,2,
ASE <-> IAH,190,68
ASE <-> LAX,876,195
ASE <-> ORD,908,134
ASE <-> SFO,396,62
ATL <-> ATW,728,220
