MWH,-12.27,17.58
IMT,-8.07,27.96
AZA,-6.36,15.09
VEL,-5.43,15.66
DRT,-4.30,34.26
CNY,-4.06,16.65
HVN,-2.33,4.04
BLI,-1.47,26.57
INL,-1.38,30.81
BTM,-1.11,22.04
SHD,-1.06,9.13
SPN,-0.60,8.20
PIH,-0.44,21.42
HIB,-0.42,20.59
IYK,-0.27,15.93
LWS,-0.16,22.18
BJI,-0.06,22.02
LBF,0.00,
PUB,0.00,0.00
BFF,0.00,0.00
RCA,0.00,
EFD,0.00,
WYS,0.00,17.90
PVU,0.00,0.00
OGD,0.00,0.00
ILE,0.06,14.08
BRD,0.31,27.99
EKO,0.33,20.97
ABR,0.75,20.86
HTS,0.78,21.14
LIH,0.79,23.18
UTM,0.87,25.27
ITO,0.97,17.46
FLG,1.01,26.43
APN,1.02,31.81
SUN,1.03,19.93
RHI,1.20,25.29
OGG,1.21,29.24
SMX,1.24,19.82
LAR,1.28,41.42
MVY,1.40,35.39
KOA,1.43,26.38
CDC,1.43,21.51
TWF,1.50,22.94
HLN,1.75,25.40
ADQ,1.82,26.93
OXR,1.86,20.24
BKG,2.10,26.82
CPR,2.21,27.19
IDA,2.35,25.24
ORH,2.48,39.48
GLH,2.50,0.71
RKS,2.55,26.24
TEX,2.61,24.72
SLC,2.68,29.62
SGU,2.75,21.59
ESC,2.77,31.02
COD,2.81,27.88
GCC,2.82,31.22
HNL,3.02,33.89
PHX,3.04,29.70
BET,3.11,25.70
YUM,3.15,25.68
PIE,3.20,44.94
LGB,3.21,31.29
SNA,3.26,24.69
SCC,3.35,33.24
CYS,3.49,26.63
MMH,3.52,28.65
FCA,3.53,27.14
CLD,3.76,21.91
ITH,3.81,36.59
PSC,3.86,28.63
GTF,3.87,26.16
OME,3.95,29.13
PMD,4.04,30.31
MSO,4.04,26.31
FAI,4.06,27.68
JNU,4.10,34.02
CVG,4.19,34.92
GJT,4.20,29.29
ADK,4.40,30.48
OAK,4.42,27.19
PLN,4.45,37.71
EAU,4.50,33.83
IPL,4.52,22.81
SEA,4.53,33.97
SJC,4.59,26.93
DLH,4.63,30.28
KTN,4.65,32.11
BIL,4.68,27.22
YAK,4.68,37.59
SBA,4.79,27.84
LAS,4.81,30.89
MDW,4.84,32.23
PAH,4.93,32.95
PDX,4.96,31.64
SCE,5.02,31.77
DEN,5.02,34.10
DRO,5.04,31.40
RDM,5.06,28.90
SAN,5.09,29.31
MEM,5.10,37.13
LAX,5.12,34.05
BFL,5.17,29.87
BUR,5.20,26.03
DUT,5.21,18.67
CLT,5.23,31.97
BZN,5.24,28.16
BGM,5.27,31.71
OTZ,5.37,27.91
ISN,5.41,39.12
MKG,5.43,31.11
MCO,5.44,35.10
ISP,5.48,32.25
DTW,5.48,41.47
MSP,5.48,42.49
GEG,5.49,27.93
ANC,5.49,34.25
ONT,5.50,27.57
IAH,5.50,36.55
TPA,5.51,33.52
BWI,5.52,32.77
DCA,5.53,32.30
RSW,5.54,33.00
HOU,5.59,30.16
MRY,5.71,28.13
ELM,5.77,36.35
SPS,5.77,29.20
SBP,5.77,29.04
ABQ,5.77,28.98
GFK,5.80,34.31
SRQ,5.81,32.11
RAP,5.81,30.31
BIS,5.83,30.58
MSY,5.85,31.76
DFW,5.86,41.44
CMX,5.87,40.15
ERI,5.89,30.42
CDV,6.00,35.76
ACT,6.00,29.43
TRI,6.01,35.99
RNO,6.01,27.94
SIT,6.02,33.43
SMF,6.04,28.37
GST,6.08,29.57
LAW,6.09,31.35
DAL,6.16,29.02
PSP,6.17,30.35
DLG,6.22,31.28
CLL,6.27,29.75
TUS,6.29,29.62
STL,6.31,33.49
BOI,6.32,29.46
TYR,6.34,27.05
FAT,6.35,30.89
LCH,6.40,33.30
WRG,6.45,36.34
RST,6.50,30.23
LSE,6.50,31.13
IAD,6.51,40.04
MTJ,6.52,31.28
LWB,6.57,34.12
CLE,6.62,36.46
ECP,6.70,32.43
ELP,6.76,29.79
BNA,6.76,32.73
IND,6.76,35.30
CHO,6.79,34.59
EVV,6.81,32.43
AZO,6.85,31.36
SAT,6.86,31.42
HDN,6.89,31.98
GUC,6.91,34.81
AUS,6.92,32.63
BRW,6.94,34.96
CIU,6.94,34.21
PVD,6.99,34.22
EUG,6.99,30.35
FSM,7.02,30.21
JAX,7.04,33.24
FLL,7.04,35.81
MCI,7.08,32.15
MKE,7.14,34.62
GPT,7.21,32.27
STT,7.21,40.79
EWN,7.21,37.15
PIT,7.23,34.40
PSG,7.34,37.39
HOB,7.36,36.51
TXK,7.40,30.32
SAF,7.41,29.67
BDL,7.44,34.11
LFT,7.48,32.97
BHM,7.58,32.91
AVL,7.58,37.24
MIA,7.59,41.69
CRP,7.59,30.01
PNS,7.60,31.99
LRD,7.61,30.07
PBI,7.64,36.97
RDU,7.68,35.92
HRL,7.68,29.71
AEX,7.71,33.94
MOT,7.71,32.47
MGM,7.72,37.28
BRO,7.73,31.00
SJT,7.75,29.49
MOB,7.76,33.42
EYW,7.79,37.74
GGG,7.81,28.56
DBQ,7.81,29.39
HSV,7.83,34.82
JAN,7.90,33.02
MHT,7.93,35.54
HKY,7.98,38.22
TLH,8.02,35.89
STX,8.05,34.97
FAR,8.06,34.81
SDF,8.11,34.05
SBN,8.11,37.36
ROW,8.13,27.82
BOS,8.16,39.10
PIR,8.21,18.13
DAY,8.25,34.66
CHA,8.25,36.60
ACY,8.33,36.02
CID,8.34,33.76
MFE,8.35,33.23
AKN,8.35,33.46
ATL,8.37,40.70
YKM,8.41,18.88
DIK,8.44,37.32
LMT,8.48,37.20
LEX,8.51,35.85
CMH,8.53,35.44
BPT,8.53,34.89
GTR,8.54,37.29
OMA,8.55,33.53
JAC,8.57,37.19
TOL,8.58,32.71
ALB,8.61,34.88
GRK,8.61,33.77
ILM,8.64,33.85
PHL,8.65,40.18
LBB,8.67,29.94
MAF,8.69,29.84
AMA,8.71,29.68
CHS,8.73,35.56
PIA,8.73,34.68
TYS,8.79,38.00
CRW,8.81,37.78
JLN,8.82,28.38
SHV,8.83,34.87
BUF,8.85,36.89
GRR,8.87,35.14
ABE,8.90,37.33
DAB,8.94,35.25
SUX,8.95,35.30
FWA,8.99,36.03
HPN,9.02,37.96
FNT,9.03,35.55
MLI,9.04,35.68
ICT,9.04,35.27
CAK,9.06,37.07
COS,9.06,34.10
OKC,9.09,34.06
DSM,9.10,35.26
BTR,9.12,34.14
GRI,9.16,28.13
PSE,9.16,36.44
GRB,9.18,37.33
TVC,9.18,36.72
LAN,9.20,36.24
MYR,9.20,35.43
PHF,9.21,37.36
MLU,9.23,37.15
MFR,9.24,33.05
ORF,9.28,35.64
GSP,9.29,37.01
MHK,9.30,32.08
FSD,9.33,35.79
ABY,9.33,35.56
MSN,9.34,35.96
XNA,9.35,37.91
TUL,9.40,34.33
ASE,9.43,31.68
RFD,9.48,36.17
MDT,9.59,37.40
ATW,9.60,36.72
CSG,9.65,36.18
SJU,9.66,40.86
SAV,9.72,36.75
RIC,9.74,37.83
OAJ,9.75,37.66
SPI,9.77,39.49
LIT,9.80,34.81
MBS,9.84,36.99
GCK,9.85,32.65
BQN,9.90,41.17
CWA,9.90,37.09
ART,10.02,41.42
PWM,10.05,40.09
ALO,10.07,39.16
ROA,10.12,38.93
COU,10.15,33.15
BMI,10.16,38.06
GSO,10.20,37.75
ABI,10.24,34.83
LYH,10.29,35.65
MTH,10.34,38.58
SGF,10.37,36.74
SYR,10.39,38.60
LNK,10.44,39.03
BTV,10.46,42.02
VLD,10.46,36.34
ROC,10.49,39.58
MLB,10.51,35.24
BQK,10.59,36.82
ORD,10.59,48.14
VPS,10.65,36.36
JFK,10.68,46.79
DHN,10.82,38.13
TUP,10.93,41.68
GNV,11.02,39.81
AGS,11.08,39.92
MEI,11.21,40.37
FAY,11.23,37.35
SWF,11.25,38.69
EGE,11.28,47.98
SFO,11.47,42.64
BGR,11.57,39.21
SLE,11.71,23.96
PFN,11.72,39.37
ACK,11.75,44.42
AVP,11.87,42.04
LGA,11.93,43.59
MKC,12.00,
CAE,12.73,42.19
ACV,12.83,37.28
APF,13.23,35.12
MOD,13.25,35.28
FLO,13.48,40.42
CMI,14.72,43.42
CEC,14.96,40.70
OTH,15.25,41.12
RDD,15.33,38.77
CIC,15.83,40.37
EWR,16.59,51.30
ILG,17.84,52.72
GUM,18.57,54.74
MQT,18.82,62.60
TTN,20.04,45.68
MCN,21.37,51.85
ISO,22.24,46.00
HHH,22.50,47.76
PPG,23.06,94.47
SOP,24.95,45.62
FOE,30.35,50.45
clk: 0.09 sec
