Weekday,0,1.80,-65.11,68.70
Weekday,1,-0.70,-62.48,61.09
Weekday,2,3.83,-83.11,90.77
Weekday,3,9.55,-78.35,97.45
Weekday,4,2.57,-83.06,88.20
Weekday,5,-1.07,-64.28,62.14
Weekday,6,-0.50,-60.48,59.48
Weekday,7,0.80,-58.68,60.28
Weekday,8,2.16,-59.12,63.44
Weekday,9,3.07,-58.67,64.81
Weekday,10,4.18,-58.31,66.67
Weekday,11,5.15,-60.30,70.59
Weekday,12,6.37,-63.92,76.66
Weekday,13,8.07,-65.89,82.02
Weekday,14,9.59,-68.76,87.94
Weekday,15,10.81,-68.89,90.50
Weekday,16,11.99,-71.38,95.35
Weekday,17,13.19,-73.20,99.58
Weekday,18,13.83,-73.57,101.24
Weekday,19,13.56,-71.58,98.70
Weekday,20,13.73,-69.74,97.20
Weekday,21,11.50,-65.17,88.17
Weekday,22,7.20,-63.46,77.87
Weekday,23,5.40,-66.65,77.45
Weekend,0,1.11,-61.01,63.22
Weekend,1,0.08,-61.30,61.45
Weekend,2,3.18,-83.53,89.88
Weekend,3,9.80,-86.61,106.22
Weekend,4,4.43,-99.34,108.20
Weekend,5,-0.78,-67.44,65.88
Weekend,6,-1.03,-65.02,62.96
Weekend,7,-0.98,-61.90,59.94
Weekend,8,0.18,-60.84,61.20
Weekend,9,1.28,-59.26,61.82
Weekend,10,2.65,-59.26,64.56
Weekend,11,3.84,-62.20,69.87
Weekend,12,5.03,-65.19,75.25
Weekend,13,6.46,-66.70,79.61
Weekend,14,7.61,-69.16,84.38
Weekend,15,8.29,-68.42,85.01
Weekend,16,9.06,-71.18,89.30
Weekend,17,9.97,-72.85,92.79
Weekend,18,10.42,-72.31,93.16
Weekend,19,10.70,-70.05,91.46
Weekend,20,11.08,-68.86,91.01
Weekend,21,9.68,-65.31,84.68
Weekend,22,5.10,-64.19,74.40
Weekend,23,3.70,-67.62,75.02
