Weekday,0,0.19,-60.04,60.41
Weekday,1,-2.61,-63.62,58.41
Weekday,2,5.56,-92.58,103.71
Weekday,3,9.95,-80.44,100.34
Weekday,4,1.47,-67.92,70.85
Weekday,5,-2.10,-64.00,59.80
Weekday,6,-1.62,-61.67,58.42
Weekday,7,-0.41,-59.62,58.80
Weekday,8,0.80,-59.77,61.38
Weekday,9,1.64,-60.07,63.34
Weekday,10,2.81,-59.24,64.85
Weekday,11,3.84,-60.96,68.64
Weekday,12,4.94,-64.23,74.11
Weekday,13,6.22,-65.10,77.54
Weekday,14,7.79,-67.90,83.47
Weekday,15,8.89,-68.34,86.12
Weekday,16,9.87,-70.28,90.01
Weekday,17,10.69,-72.21,93.60
Weekday,18,11.53,-72.58,95.64
Weekday,19,11.06,-70.95,93.06
Weekday,20,11.08,-69.07,91.24
Weekday,21,8.97,-65.62,83.57
Weekday,22,5.31,-62.64,73.27
Weekday,23,2.85,-66.70,72.39
Weekend,0,-0.34,-53.23,52.56
Weekend,1,-2.21,-60.71,56.29
Weekend,2,3.75,-71.56,79.07
Weekend,3,8.55,-77.12,94.21
Weekend,4,4.78,-94.85,104.42
Weekend,5,-2.02,-67.68,63.64
Weekend,6,-2.33,-65.56,60.91
Weekend,7,-2.26,-62.60,58.08
Weekend,8,-1.26,-61.78,59.27
Weekend,9,-0.21,-60.17,59.75
Weekend,10,1.15,-59.62,61.91
Weekend,11,2.18,-62.36,66.73
Weekend,12,3.29,-64.27,70.86
Weekend,13,4.45,-65.53,74.43
Weekend,14,5.51,-67.56,78.58
Weekend,15,6.15,-67.35,79.66
Weekend,16,6.88,-69.92,83.67
Weekend,17,7.43,-71.26,86.11
Weekend,18,8.20,-71.01,87.41
Weekend,19,8.37,-68.67,85.42
Weekend,20,8.55,-68.50,85.61
Weekend,21,6.95,-65.49,79.40
Weekend,22,2.96,-60.64,66.56
Weekend,23,0.79,-70.09,71.67
