1988,1,873900
1988,2,825158
1988,3,890160
1988,4,854650
1988,5,871832
1988,6,862598
1988,7,882236
1988,8,893538
1988,9,848150
1988,10,883340
1988,11,841722
1988,12,876908
1989,1,880044
1989,2,790352
1989,3,870362
1989,4,811208
1989,5,832320
1989,6,812586
1989,7,834332
1989,8,852170
1989,9,830136
1989,10,874268
1989,11,835642
1989,12,858980
1990,1,885400
1990,2,793852
1990,3,888640
1990,4,866840
1990,5,894742
1990,6,874790
1990,7,910114
1990,8,915772
1990,9,871276
1990,10,910094
1990,11,857562
1990,12,872704
1991,1,854528
1991,2,774240
1991,3,858628
1991,4,844392
1991,5,860232
1991,6,849178
1991,7,882244
1991,8,883166
1991,9,835514
1991,10,866764
1991,11,805874
1991,12,839090
1992,1,850916
1992,2,792938
1992,3,853702
1992,4,832542
1992,5,851116
1992,6,851020
1992,7,880420
1992,8,884262
1992,9,845148
1992,10,871380
1992,11,818532
1992,12,852338
1993,1,845510
1993,2,767900
1993,3,865960
1993,4,840102
1993,5,860370
1993,6,849198
1993,7,872538
1993,8,883490
1993,9,832714
1993,10,856952
1993,11,815800
1993,12,850468
1994,1,847722
1994,2,773908
1994,3,871032
1994,4,841990
1994,5,872864
1994,6,852980
1994,7,887472
1994,8,902172
1994,9,861722
1994,10,898738
1994,11,856454
1994,12,893042
1995,1,929866
1995,2,836624
1995,3,923006
1995,4,882148
1995,5,896682
1995,6,878846
1995,7,899712
1995,8,914846
1995,9,859548
1995,10,896034
1995,11,854182
1995,12,883376
1996,1,894448
1996,2,840530
1996,3,899138
1996,4,872014
1996,5,897846
1996,6,886622
1996,7,916752
1996,8,924588
1996,9,876704
1996,10,913154
1996,11,870176
1996,12,911994
1997,1,918246
1997,2,831312
1997,3,921972
1997,4,894588
1997,5,914722
1997,6,901474
1997,7,933542
1997,8,933216
1997,9,888862
1997,10,918494
1997,11,865450
1997,12,901808
1998,1,904002
1998,2,825664
1998,3,919406
1998,4,885288
1998,5,898586
1998,6,892854
1998,7,924858
1998,8,931820
1998,9,887802
1998,10,915908
1998,11,873056
1998,12,910198
1999,1,907628
1999,2,835254
1999,3,932534
1999,4,901240
1999,5,924108
1999,6,920934
1999,7,948094
1999,8,959098
1999,9,920502
1999,10,956588
1999,11,909900
1999,12,939888
2000,1,940954
2000,2,888998
2000,3,965888
2000,4,926526
2000,5,957818
2000,6,942200
2000,7,966684
2000,8,982732
2000,9,926194
2000,10,971522
2000,11,934502
2000,12,962076
2001,1,1059880
2001,2,955648
2001,3,1062238
2001,4,1028374
2001,5,1059880
2001,6,1040460
2001,7,1076880
2001,8,1088702
2001,9,981396
2001,10,887592
2001,11,834772
2001,12,859738
2002,1,872672
2002,2,799070
2002,3,895792
2002,4,876282
2002,5,900092
2002,6,896666
2002,7,931146
2002,8,933528
2002,9,859992
2002,10,893180
2002,11,830048
2002,12,854250
2003,1,1104218
2003,2,1000412
2003,3,1118684
2003,4,1054604
2003,5,1067564
2003,6,1072992
2003,7,1117136
2003,8,1113968
2003,9,1055428
2003,10,1104740
2003,11,1056342
2003,12,1110990
2004,1,1167974
2004,2,1107752
2004,3,1202824
2004,4,1165940
2004,5,1188914
2004,6,1177584
2004,7,1228332
2004,8,1246214
2004,9,1170250
2004,10,1220074
2004,11,1169220
2004,12,1213462
2005,1,1189848
2005,2,1090664
2005,3,1235078
2005,4,1188984
2005,5,1229604
2005,6,1218390
2005,7,1255922
2005,8,1261808
2005,9,1148506
2005,10,1185420
2005,11,1132276
2005,12,1144686
2006,1,1162574
2006,2,1062494
2006,3,1210434
2006,4,1170702
2006,5,1205838
2006,6,1196630
2006,7,1242488
2006,8,1257464
2006,9,1169874
2006,10,1223436
2006,11,1172394
2006,12,1209516
2007,1,1243118
2007,2,1131208
2007,3,1278418
2007,4,1229296
2007,5,1263218
2007,6,1258560
2007,7,1297120
2007,8,1306558
2007,9,1200374
2007,10,1259984
2007,11,1210298
2007,12,1232764
2008,1,1211530
2008,2,1138472
2008,3,1232180
2008,4,1196252
2008,5,1212586
2008,6,1217330
2008,7,1255862
2008,8,1224558
2008,9,1081816
2008,10,1112410
2008,11,1046544
2008,12,1089912
2009,1,1064678
2009,2,976820
2009,3,1114844
2009,4,1075586
2009,5,1093664
2009,6,1115188
2009,7,1160268
2009,8,1136602
2009,9,1021704
2009,10,1063598
2009,11,1019080
2009,12,1058538
2010,1,1043618
2010,2,966540
2010,3,1098524
2010,4,1058660
2010,5,1085494
2010,6,1103374
2010,7,1141576
2010,8,1138434
2010,9,1052214
2010,10,1091038
2010,11,1041998
2010,12,1078764
2011,1,988800
2011,2,911032
2011,3,1053374
2011,4,1014048
2011,5,1041224
2011,6,1057176
2011,7,1094438
2011,8,1082884
2011,9,974936
2011,10,1008794
2011,11,956080
2011,12,987776
2012,1,972266
2012,2,929652
2012,3,1043256
2012,4,1010436
2012,5,1036846
2012,6,1053866
2012,7,1090262
2012,8,1081586
2012,9,980398
2012,10,1030508
2012,11,976012
2012,12,988436
2013,1,1019038
2013,2,939492
2013,3,1104624
2013,4,1072786
2013,5,1097284
2013,6,1104282
2013,7,1143246
2013,8,1125842
2013,9,1021612
2013,10,1070688
2013,11,1006592
2013,12,1033478
2014,1,943898
2014,2,861204
2014,3,1007516
