ABE <-> ATL,2464,2424
ABE <-> AVL,,2
ABE <-> AVP,2,
ABE <-> CLT,1372,1430
ABE <-> DAY,2,
ABE <-> DTW,1740,768
ABE <-> FLL,388,
ABE <-> IAD,,454
ABE <-> JAX,,2
ABE <-> MCO,1728,2044
ABE <-> ORD,8800,4628
ABI <-> DFW,9932,9786
ABQ <-> ATL,3866,3682
ABQ <-> BWI,2318,2358
ABQ <-> DAL,10938,10864
ABQ <-> DEN,11702,11598
ABQ <-> DFW,11494,11020
ABQ <-> ELP,2420,2448
ABQ <-> EWR,4,4
ABQ <-> GJT,2,
ABQ <-> HOU,4006,4046
ABQ <-> IAD,1456,1456
ABQ <-> IAH,7652,6188
ABQ <-> LAS,7796,7696
ABQ <-> LAX,11158,12904
ABQ <-> LBB,1456,1342
ABQ <-> MAF,1456,1344
ABQ <-> MCI,1694,1490
ABQ <-> MCO,1504,1344
ABQ <-> MDW,2898,2902
ABQ <-> MSP,2206,2100
ABQ <-> OAK,3692,3716
ABQ <-> ORD,3302,3180
ABQ <-> PDX,1456,1324
ABQ <-> PHX,19474,18616
ABQ <-> SAN,3544,3492
ABQ <-> SEA,2872,2652
ABQ <-> SFO,1508,2242
ABQ <-> SLC,8294,5758
ABQ <-> STL,1454,1464
ABQ <-> TUS,2822,2784
ABR <-> MSP,20,1494
ABY <-> ATL,4024,3996
ACK <-> BOS,,444
ACK <-> JFK,956,936
ACT <-> DFW,1662,3912
ACT <-> IAH,,748
ACV <-> CEC,1238,1266
ACV <-> CIC,,2
ACV <-> RDD,6,
ACV <-> SFO,9440,9936
ACV <-> SMF,2448,2532
ACY <-> ATL,2900,938
ADK <-> ANC,412,420
ADQ <-> ANC,2680,2688
AEX <-> ATL,6180,5688
AEX <-> DFW,4348,4992
AEX <-> GSO,2,
AEX <-> IAH,2864,3394
AEX <-> MEM,396,
AGS <-> ATL,13062,11938
AGS <-> CLT,96,112
AGS <-> DFW,2900,1078
AGS <-> IAH,2,2
AGS <-> LGA,,6
AKN <-> ANC,336,336
ALB <-> ATL,3248,3484
ALB <-> BTV,2,
ALB <-> BWI,7708,7692
ALB <-> CLE,3970,4464
ALB <-> CLT,2816,2912
ALB <-> DTW,1752,62
ALB <-> EWR,336,752
ALB <-> FLL,1456,1460
ALB <-> IAD,3780,806
ALB <-> JFK,444,
ALB <-> LAS,1454,1464
ALB <-> MCO,3458,3236
ALB <-> MDW,2880,2894
ALB <-> MSP,370,466
ALB <-> ORD,6168,4944
ALB <-> TPA,1484,1484
ALO <-> ORD,,1210
AMA <-> DAL,8020,8028
AMA <-> DEN,4060,5450
AMA <-> DFW,7092,9236
AMA <-> IAH,5176,4868
AMA <-> LAS,1456,1464
AMA <-> LBB,,2
AMA <-> MEM,1140,
AMA <-> SHV,2,
ANC <-> BET,4116,3968
ANC <-> BRW,924,930
ANC <-> CDV,1440,1450
ANC <-> DEN,1258,1516
ANC <-> DFW,608,576
ANC <-> DLG,336,336
ANC <-> DTW,272,
ANC <-> FAI,10598,10490
ANC <-> HNL,1248,1424
ANC <-> IAH,486,500
ANC <-> JNU,4562,4460
ANC <-> LAX,772,792
ANC <-> LGB,424,412
ANC <-> MSP,2984,2982
ANC <-> OGG,252,268
ANC <-> OME,2250,2186
ANC <-> ORD,2164,1788
ANC <-> OTZ,2078,2142
ANC <-> PDX,2980,3146
ANC <-> PHL,324,
ANC <-> PHX,1660,1556
ANC <-> SCC,1034,1168
ANC <-> SEA,24598,23998
ANC <-> SFO,324,328
ANC <-> SIT,2,
ANC <-> SLC,1820,1860
APN <-> DTW,,16
APN <-> MSP,,24
ART <-> ORD,,2046
ASE <-> DEN,12784,11890
ASE <-> DFW,,736
ASE <-> GJT,4,4
ASE <-> IAH,380,1242
ASE <-> LAX,1752,3034
ASE <-> ORD,1816,1926
ASE <-> SFO,792,718
ASE <-> TUS,,2
ATL <-> ATW,1456,2100
ATL <-> AUS,8300,9866
ATL <-> AVL,12272,11470
ATL <-> AVP,16,1370
ATL <-> BDL,8428,8438
ATL <-> BHM,14674,13456
ATL <-> BKG,2508,2648
ATL <-> BMI,10030,7826
ATL <-> BNA,12914,14462
ATL <-> BOS,22050,22318
ATL <-> BQK,4032,3860
ATL <-> BTR,10966,12078
ATL <-> BUF,11568,11294
ATL <-> BWI,24674,27386
ATL <-> BZN,236,248
ATL <-> CAE,14238,12666
ATL <-> CAK,13434,11292
ATL <-> CHA,12574,13264
ATL <-> CHO,4122,4160
ATL <-> CHS,14094,14136
ATL <-> CID,14,2478
ATL <-> CLE,10268,8358
ATL <-> CLT,29012,29888
ATL <-> CMH,13454,13436
ATL <-> COS,1728,1468
ATL <-> COU,,388
ATL <-> CRW,6710,6686
ATL <-> CSG,5814,5856
ATL <-> CVG,10136,9408
ATL <-> DAB,6568,6492
ATL <-> DAL,,106
ATL <-> DAY,11868,11316
ATL <-> DCA,30510,29252
ATL <-> DEN,22284,22858
ATL <-> DFW,38864,32252
ATL <-> DHN,5416,5224
ATL <-> DSM,3804,3056
ATL <-> DTW,20118,19490
ATL <-> ECP,11734,11502
ATL <-> EGE,428,424
ATL <-> ELP,3176,2716
ATL <-> EVV,4300,5260
ATL <-> EWN,3396,3804
ATL <-> EWR,20860,20802
ATL <-> EYW,4432,4808
ATL <-> FAY,12154,12070
ATL <-> FCA,40,44
ATL <-> FLL,30256,29434
ATL <-> FLO,352,
ATL <-> FNT,9820,8982
ATL <-> FSD,196,152
ATL <-> FSM,,420
ATL <-> FWA,1390,1690
ATL <-> GNV,9436,9408
ATL <-> GPT,8778,7750
ATL <-> GRK,2886,2810
ATL <-> GRR,3606,3420
ATL <-> GSO,10442,10874
ATL <-> GSP,11236,9132
ATL <-> GTR,2010,3998
ATL <-> HDN,400,426
ATL <-> HNL,1456,1464
ATL <-> HOU,13848,11748
ATL <-> HPN,10364,9316
ATL <-> HSV,13426,11400
ATL <-> IAD,20414,17952
ATL <-> IAH,20514,20572
ATL <-> ICT,9398,9088
ATL <-> ILM,8836,8926
ATL <-> IND,15810,16114
ATL <-> JAC,188,188
ATL <-> JAN,11126,10632
ATL <-> JAX,22582,21828
ATL <-> JFK,9230,8798
ATL <-> LAS,16696,16854
ATL <-> LAX,20354,19674
ATL <-> LEX,10930,9546
ATL <-> LFT,4622,6894
ATL <-> LGA,43286,43854
ATL <-> LIT,10764,10564
ATL <-> LWB,1456,814
ATL <-> LYH,998,
ATL <-> MCI,15626,14240
ATL <-> MCO,36870,35720
ATL <-> MDT,6096,6244
ATL <-> MDW,19360,21500
ATL <-> MEI,2702,2846
ATL <-> MEM,18968,17536
ATL <-> MFE,1022,1580
ATL <-> MGM,11042,12514
ATL <-> MHT,1972,2084
ATL <-> MIA,24130,23558
ATL <-> MKE,16206,16242
ATL <-> MLB,6158,5724
ATL <-> MLI,6640,5564
ATL <-> MLU,4378,5432
ATL <-> MOB,11730,9918
ATL <-> MSN,1376,3024
ATL <-> MSP,22734,21694
ATL <-> MSY,21290,21268
ATL <-> MTJ,424,172
ATL <-> MYR,8018,7688
ATL <-> OAJ,5958,6664
ATL <-> OAK,144,
ATL <-> OKC,6686,4924
ATL <-> OMA,6274,4542
ATL <-> ONT,1572,1648
ATL <-> ORD,29984,31736
ATL <-> ORF,9568,9926
ATL <-> PBI,17182,16552
ATL <-> PDX,4292,4332
ATL <-> PHF,12806,9902
ATL <-> PHL,26902,27990
ATL <-> PHX,15892,16456
ATL <-> PIA,,1618
ATL <-> PIT,16640,16252
ATL <-> PNS,15436,14746
ATL <-> PVD,4432,3972
ATL <-> PWM,3642,3152
ATL <-> RDU,21308,21756
ATL <-> RIC,16368,16602
ATL <-> ROA,6804,6722
ATL <-> ROC,8320,8382
ATL <-> RSW,16442,16538
ATL <-> SAN,7848,7698
ATL <-> SAT,15760,14382
ATL <-> SAV,14738,13562
ATL <-> SBN,1544,2124
ATL <-> SCE,2,2
ATL <-> SDF,10068,8974
ATL <-> SEA,11298,10780
ATL <-> SFO,12942,12868
ATL <-> SGF,4672,5390
ATL <-> SHV,6838,7222
ATL <-> SJC,1308,1352
ATL <-> SJU,10024,8542
ATL <-> SLC,11788,10718
ATL <-> SMF,2528,2532
ATL <-> SNA,6696,6604
ATL <-> SRQ,11378,11240
ATL <-> STL,15796,15788
ATL <-> STT,1976,2168
ATL <-> STX,288,80
ATL <-> SWF,2036,2562
ATL <-> SYR,4176,3290
ATL <-> TLH,12966,11724
ATL <-> TPA,27822,28774
ATL <-> TRI,9954,11342
ATL <-> TUL,5566,4422
ATL <-> TUS,2826,2872
ATL <-> TYS,11158,8862
ATL <-> UTM,536,
